Elapsed_Time(s),Target_X,Target_Y,Error_X,Error_Y,PWM_X,PWM_Y
2.53069,314.765,189.736,-5.23514,-10.2636,1440.69,1592.6
2.54604,313.282,190.142,-6.71835,-9.85788,1448.94,1596.03
2.56389,311.717,191.032,-8.28308,-8.96825,1453.24,1598.83
2.5793,310.145,191.984,-9.85519,-8.01639,1458.32,1601.63
2.60075,308.476,193.156,-11.5242,-6.84409,1463.72,1604.43
2.61306,307.901,195.445,-12.099,-4.55469,1468.94,1597.2
2.63092,307.703,195.23,-12.2969,-4.77031,1473.77,1597.2
2.64611,307.573,193.898,-12.4274,-6.10216,1478.62,1604.75
2.66396,308.5,194,-11.5,-6,1482.62,1607.55
2.67943,310.19,192.251,-9.80951,-7.74937,1486.62,1611.97
2.69735,311.464,189.679,-8.5358,-10.321,1490.62,1617.77
2.71292,311.566,189.238,-8.43359,-10.7615,1494.62,1622.24
2.73065,312.395,188.911,-7.60483,-11.0887,1498.62,1626.71
2.74605,313.034,189.227,-6.96552,-10.773,1502.62,1630.55
2.76416,313.326,191.163,-6.67419,-8.8371,1506.62,1633.35
2.77935,313.603,195.327,-6.39722,-4.67265,1510.62,1625.78
2.79735,314.436,198.892,-5.56351,-1.10846,1514.62,1625.78
2.81279,314.49,199.528,-5.51013,-0.472458,1518.62,1625.78
2.83066,314.018,199.43,-5.98245,-0.570175,1522.62,1625.78
2.84612,313.371,198,-6.62903,-2,1526.62,1625.78
2.86401,313.339,197.14,-6.66107,-2.85994,1530.62,1625.78
2.87948,313.556,195.769,-6.44354,-4.23119,1534.62,1625.78
2.89734,313.672,194.057,-6.32788,-5.94263,1538.62,1632.37
2.91274,314.425,193.222,-5.57501,-6.77777,1542.62,1635.66
2.93068,314.664,191.76,-5.33591,-8.24031,1538.58,1639.86
2.94655,315,190,-5,-10,1538.58,1645.11
2.96399,313.924,189,-6.07602,-11,1545.43,1650.05
2.97947,312.721,188.808,-7.27914,-11.1924,1549.43,1654.48
2.99727,311.029,190.559,-8.97058,-9.44118,1554.08,1657.28
3.0129,309.724,193.049,-10.276,-6.95082,1559.08,1660.08
3.03058,308.777,195.144,-11.2231,-4.85564,1564.06,1654.97
3.0461,308.083,197.843,-11.9174,-2.15669,1569.18,1654.97
3.06398,307.966,198.362,-12.0345,-1.63792,1573.85,1654.97
3.07947,308.625,197.484,-11.375,-2.51562,1577.85,1654.97
3.09738,308.677,195.874,-11.3226,-4.12634,1582.13,1654.97
3.11276,308.77,196.098,-11.2297,-3.90196,1586.34,1654.97
3.13068,309.084,195.916,-10.916,-4.08406,1590.34,1654.97
3.14603,308.672,195.057,-11.3279,-4.94263,1595.01,1654.97
3.16403,308.342,195.238,-11.6585,-4.7623,1599.69,1654.97
3.17939,308.568,195.08,-11.4325,-4.9201,1603.87,1654.97
3.1974,308.5,194.5,-11.5,-5.5,1608.3,1661.03
3.21278,308.161,194.27,-11.8391,-5.72989,1613.11,1663.83
3.23194,307.107,194.223,-12.8927,-5.77684,1618.74,1666.63
3.2463,306.181,194.236,-13.8195,-5.76389,1624.85,1669.43
3.26432,304.658,194.549,-15.3415,-5.45082,1631.81,1665.28
3.2794,304,195,-16,-5,1638.48,1665.28
3.29732,303.575,195.778,-16.425,-4.22223,1645.06,1665.28
3.31289,303.99,197.238,-16.0103,-2.76227,1650.82,1665.28
3.33176,303.898,199.573,-16.1021,-0.427414,1657.03,1665.28
3.34615,303.605,201.179,-16.3947,1.17867,1663.55,1665.28
3.36391,303.843,201.1,-16.1567,1.09972,1669.55,1665.28
3.37948,304,202.301,-16,2.30055,1675.53,1665.28
3.39731,304.77,203.098,-15.2297,3.09804,1680.78,1665.28
3.41283,304.475,203.092,-15.525,3.09166,1686.96,1665.28
3.4314,304.415,205.786,-15.5852,5.78625,1692.95,1659.02
3.44606,304.083,207.843,-15.9174,7.84331,1699.33,1654.21
3.46392,303.931,208.635,-16.0688,8.63492,1705.58,1650.34
3.47936,304.647,209.362,-15.3533,9.36182,1710.84,1646.16
3.49726,304.111,209.631,-15.8889,9.63144,1717.3,1642.29
3.51278,304.988,211.384,-15.012,11.3844,1722.31,1636.49
3.53065,305.084,212.916,-14.916,12.9159,1727.94,1630.45
3.54611,305.883,213.157,-14.1168,13.1567,1732.67,1625.23
3.56399,306.012,214.186,-13.988,14.1862,1737.92,1619.07
3.57944,306.8,210.447,-13.1996,10.4474,1742.31,1616.27
3.59744,306.966,206.568,-13.0339,6.56779,1747.18,1619.07
3.61392,306.732,206.766,-13.2684,6.76553,1752.44,1616.27
3.63168,307.331,203.39,-12.6692,3.38974,1756.85,1621.23
3.64633,307.57,202.134,-12.4302,2.1339,1761.4,1621.23
3.66411,307.308,203.894,-12.6917,3.89444,1766.45,1621.23
3.67941,308.06,204.243,-11.9399,4.24324,1770.45,1621.23
3.69742,308.678,206.322,-11.3221,6.32213,1774.45,1614.25
3.71402,309,208.5,-11,8.5,1778.45,1609.31
3.73091,309.178,210.911,-10.8222,10.9111,1782.46,1603.29
3.74624,309.06,213.243,-10.9399,13.2432,1786.76,1596.27
3.76417,309.269,214.033,-10.7306,14.0333,1790.76,1590.35
3.78129,309.145,214.875,-10.8551,14.8754,1795.01,1584.04
3.79781,309.136,215.367,-10.8639,15.3667,1799.19,1577.79
